Data,Wartość
2014-10-31,5.1 
2014-10-24,5.14 
2014-10-17,5.19 
2014-10-10,5.26 
2014-10-03,5.29 
2014-09-26,5.32 
2014-09-19,5.29 
2014-09-12,5.32 
2014-09-05,5.33 
2014-08-29,5.34 
2014-08-22,5.36 
2014-08-15,5.38 
2014-08-08,5.4 
2014-08-01,5.41 
2014-07-25,5.42 
2014-07-18,5.45 
2014-07-11,5.47 
2014-07-04,5.48 
2014-06-28,5.49 
2014-06-20,5.49 
2014-06-13,5.42 
2014-06-05,5.33 
2014-05-29,5.34 
2014-05-22,5.3 
2014-05-16,5.35 
2014-05-09,5.36 
2014-05-02,5.37 
2014-04-25,5.38 
2014-04-18,5.39 
2014-04-11,5.32 
2014-04-04,5.31 
2014-03-28,5.32 
2014-03-21,5.32 
2014-03-14,5.34 
2014-03-07,5.36 
2014-02-28,5.38 
2014-02-21,5.35 
2014-02-14,5.31 
2014-02-07,5.32 
2014-01-31,5.34 
2014-01-24,5.32 
2014-01-17,5.29 
2014-01-10,5.3 
2014-01-03,5.32 
2013-12-27,5.33 
2013-12-13,5.34 
2013-12-06,5.37 
2013-11-29,5.37 
2013-11-22,5.33 
2013-11-15,5.33 
2013-11-08,5.34 
2013-11-01,5.36 
2013-10-25,5.41 
2013-10-18,5.47 
2013-10-11,5.49 
2013-10-04,5.53 
2013-09-27,5.56 
2013-09-20,5.61 
2013-09-13,5.69 
2013-09-06,5.71 
2013-08-30,5.65 
2013-08-23,5.61 
2013-08-16,5.58 
2013-08-09,5.59 
2013-08-02,5.6 
2013-07-26,5.61 
2013-07-19,5.64 
2013-07-12,5.64 
2013-07-05,5.55 
2013-06-28,5.46 
2013-06-19,5.45 
2013-06-14,5.43 
2013-06-07,5.42 
2013-05-30,5.41 
2013-05-22,5.36 
2013-05-17,5.37 
2013-05-10,5.33 
2013-05-03,5.35 
2013-04-25,5.41 
2013-04-19,5.5 
2013-04-12,5.57 
2013-04-06,5.62 
2013-03-30,5.65 
2013-03-22,5.63 
2013-03-15,5.61 
2013-03-08,5.63 
2013-03-01,5.65 
2013-02-22,5.67 
2013-02-15,5.62 
2013-02-08,5.54 
2013-02-01,5.46 
2013-01-25,5.42 
2013-01-18,5.4 
2013-01-11,5.41 
2013-01-04,5.42 
2012-12-28,5.43 
2012-12-21,5.45 
2012-12-14,5.47 
2012-12-07,5.5 
2012-11-30,5.53 
2012-11-23,5.54 
2012-11-16,5.56 
2012-11-09,5.58 
2012-11-02,5.61 
2012-10-26,5.71 
2012-10-19,5.78 
2012-10-12,5.84 
2012-10-05,5.84 
2012-09-28,5.85 
2012-09-21,5.86 
2012-09-14,5.87 
2012-09-07,5.88 
2012-08-31,5.84 
2012-08-24,5.82 
2012-08-17,5.85 
2012-08-10,5.72 
2012-08-03,5.66 
2012-07-27,5.66 
2012-07-20,5.66 
2012-07-13,5.64 
2012-07-06,5.64 
2012-06-29,5.64 
2012-06-22,5.67 
2012-06-15,5.79 
2012-06-08,5.81 
2012-06-01,5.83 
2012-05-25,5.83 
2012-05-18,5.84 
2012-05-11,5.85 
2012-05-04,5.86 
2012-04-27,5.87 
2012-04-20,5.88 
2012-04-13,5.89 
2012-04-06,5.89 
2012-03-30,5.87 
2012-03-23,5.83 
2012-03-16,5.81 
2012-03-09,5.75 
2012-03-02,5.69 
2012-02-24,5.67 
2012-02-17,5.64 
2012-02-10,5.62 
2012-02-03,5.61 
2012-01-27,5.61 
2012-01-20,5.62 
