name,city,region,make,price,year,mileage,engine_capacity,fuel_type,price
Kia Picanto 1.0 Fifa World Cup Edition,Paniówki,Śląskie,kia,26500,2013,138000,998,petrol,26500
Nissan Pickup,Bielsk Podlaski,Podlaskie,nissan,29900,2004,235000,2488,diesel,29900
Opel Astra IV 1.6 CDTI Sport,Rzeszów,Podkarpackie,opel,49900,2017,154256,1598,diesel,49900
Audi A6 2.0 TDI Multitronic,Jarocin,Wielkopolskie,audi,11000,2011,167452,1968,diesel,11000
Audi A6,Tarnowskie Góry,Śląskie,audi,18000,1996,208000,2598,petrol-lpg,18000
Mercedes-Benz CLS 350 BlueTEC 4-Matic,Szczecinek,Zachodniopomorskie,mercedes-benz,115000,2015,182000,2987,diesel,115000
Jeep Renegade,Żary,Lubuskie,jeep,105000,2019,118891,1332,petrol,105000
Opel Crossland X 1.6 CDTI Elite,Brody,Małopolskie,opel,34600,2017,122210,1560,diesel,34600
Toyota Avensis,Lublin,Lubelskie,toyota,28000,2010,214977,2231,diesel,28000
BMW Seria 3 320d,Katowice,Śląskie,bmw,44900,2012,247997,1995,diesel,44900
Ford Focus 1.6 Ti-VCT FX Silver / Silver X,Myszków,Śląskie,ford,9500,2005,223000,1596,petrol,9500
Ford Mondeo 1.6 Ambiente,Dąbrowa Górnicza,Śląskie,ford,21500,2008,114000,1596,petrol,21500
BMW Seria 5 525d xDrive,Toruń,Kujawsko-pomorskie,bmw,70000,2013,260000,1995,diesel,70000
Mercedes-Benz GLC Coupe 220 d 4-Matic,Sierpc,Mazowieckie,mercedes-benz,179900,2018,98000,2143,diesel,179900
Volvo XC 60 D4 R-Design,Płock,Mazowieckie,volvo,133500,2020,110000,1969,diesel,133500
Citroën C3,Moderówka,Podkarpackie,citroen,21900,2012,83000,1199,petrol,21900
Porsche Cayenne S Diesel Platinum Edition,Sierpc,Mazowieckie,porsche,225900,2016,240000,4134,diesel,225900
Nissan X-Trail 1.6 DCi N-Connecta 2WD EU6,Strzyżów,Podkarpackie,nissan,73000,2016,114000,1598,diesel,73000
Ford Kuga,Kraków,Małopolskie,ford,177300,2021,21800,2483,hybrid,177300
BMW Seria 5 530d xDrive Touring Modern Line,Rewal,Zachodniopomorskie,bmw,85000,2015,276000,2993,diesel,85000
Opel Astra,Andrychów,Małopolskie,opel,53400,2018,158000,1364,petrol-lpg,53400
Ford Fiesta 1.25 Champions Edition,Gdynia,Pomorskie,ford,21500,2008,150000,1242,petrol,21500
Tesla Model S Performance,Piotrków Trybunalski,Łódzkie,tesla,135000,2013,136000,,electric,135000
Mercedes-Benz GLA 200 d 4-Matic AMG Line,Poznań,Wielkopolskie,mercedes-benz,229800,2022,3050,1950,diesel,229800
Audi A7 50 TDI mHEV Quattro Tiptronic,Pawłowice,Śląskie,audi,232900,2020,135000,2967,diesel,232900
Honda HR-V 1.5 Elegance (ADAS),Łęknica,Lubuskie,honda,79700,2017,96000,1498,petrol,79700
BMW Seria 3 318i,Ruda Śląska,Śląskie,bmw,19900,2009,265000,1995,petrol,19900
Audi A6 3.0 TDI Quattro S tronic,Kępno,Wielkopolskie,audi,84500,2015,285375,2967,diesel,84500
Jeep Wrangler 4.0 Sport,Konstancin-Jeziorna,Mazowieckie,jeep,48000,1999,117175,3964,petrol,48000
Land Rover Range Rover Evoque 1.5 P160 mHEV S,Szczecin,Zachodniopomorskie,land-rover,154980,2021,31000,1497,petrol,154980
Audi A3,Jedlicze,Podkarpackie,audi,3200,1997,371000,1896,diesel,3200
Hyundai I30 1.6 CRDi Premium,Skierniewice,Łódzkie,hyundai,61499,2016,115000,1582,diesel,61499
Audi A5 2.0 TDI Sport S tronic,Pawłowice,Śląskie,audi,109900,2018,195000,1968,diesel,109900
Ford Mondeo,Płock,Mazowieckie,ford,31900,2011,204000,1997,diesel,31900
Hyundai i40,Piaseczno,Mazowieckie,hyundai,43500,2012,130864,1591,petrol,43500
Audi A4 Avant 1.6,Ostrowiec Świętokrzyski,Świętokrzyskie,audi,2999,1995,180000,1595,petrol,2999
Mazda 323,Ostrowiec Świętokrzyski,Świętokrzyskie,mazda,3000,1996,250051,1840,petrol,3000
BMW 5GT 530d xDrive,Warszawa,Mazowieckie,bmw,119900,2015,180000,2993,diesel,119900
Ford Focus 1.0 EcoBoost ST-Line,Kórnik,Wielkopolskie,ford,60000,2017,18000,999,petrol,60000
Subaru Legacy Kombi 3.0 H6 NAV,Wetlina,Podkarpackie,subaru,22900,2005,336000,3000,petrol,22900
Mercedes-Benz Klasa E 220 d 4-Matic 9G-TRONIC,Kraków,Małopolskie,mercedes-benz,149000,2018,128000,1950,diesel,149000
Citroën Xsara Picasso,Ostrowiec Świętokrzyski,Świętokrzyskie,citroen,3000,2003,275069,1749,petrol,3000
Ford Mondeo 2.0 TDCi Titanium PowerShift,Olkusz,Małopolskie,ford,79900,2017,144500,1997,diesel,79900
Mercedes-Benz Klasa A 220 4Matic 7G-DCT AMG Line,Lublin,Lubelskie,mercedes-benz,153000,2020,65000,1991,petrol,153000
Audi A5 2.0 TDI,Konopiska,Śląskie,audi,68900,2012,171000,1968,diesel,68900
